,Entity,Year,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled),GDP_PPP
1699,New Zealand,2015,0.0,0.0930927777777777,5.980685833333333,62.054915,0.0,48.657533055555554,16.673476666666666,91.31888777777776,8.576232014,172758850728.072
1700,New Zealand,2016,0.0,0.1435380555555555,5.861208055555555,65.18974611111112,0.0,47.97363027777777,13.796135,93.61696805555556,8.563606927,188355651044.27
1701,New Zealand,2017,0.0,0.1934558333333333,5.216000833333333,62.375727222222224,0.0,49.885910277777775,14.5363675,98.7315025,8.57164371,203544615883.473
1702,New Zealand,2018,0.0,0.250845,5.138175,65.34727222222222,0.0,45.030075833333335,15.67281638888889,99.12703583333334,8.508799463,208645225364.95
1703,New Zealand,2019,0.0,0.3184780555555555,5.583053611111111,63.334690833333326,0.0,49.02100222222222,17.837761944444445,100.91015944444445,8.59002016,226248880630.193
1704,New Zealand,2020,0.0,0.3950894444444444,5.679873611111112,59.77815666666667,0.0,45.606071388888886,17.026720277777777,83.67884444444444,8.615823789,226207243215.621
1705,Non-OECD,1990,84.12907777777778,0.0055555555555555,0.0953702777777777,2581.733585277778,741.1574538888889,9497.203275,13240.274863888888,14062.408194444444,15.56839529,
1706,Non-OECD,1991,87.18000794444445,0.0055555555555555,0.3416691666666666,2682.632632777778,745.2879355555555,9626.446405555556,13257.651305555555,14042.057336111113,15.64374025,
1707,Non-OECD,1992,82.37984888888889,0.0083333333333333,0.6132863888888889,2717.558177777778,734.2241052777777,9515.76998611111,13466.478525,14045.993125,17.26008349,
1708,Non-OECD,1993,82.81538275,0.0111111111111111,0.8667658333333332,2873.071869444444,741.3528719444445,9358.338544444445,13658.88296111111,13777.264702777777,16.95359581,
